customer_id,segment,C1,C2,C3,C4,C5,G1,G2,G3,P1,P2,P3,P4,D1,D2,D3,A1,A2,A3,A4,A5,sar_last_12m,onboarded
NG-10252,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Comparison site,"Under 5k, consistent",No cash credits,None,Employer and retail,Consistent,No,2025-10-07
NG-10111,Personal,Sole trader or joint,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,Not enabled,Sole party,Branch,Documents face to face,Comparison site,"5k to 25k, consistent",Up to 10 percent,Over 40 percent,Employer and retail,Consistent,No,2024-09-25
NG-10086,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,"Enabled, unused","Joint, related","Digital, own app","Electronic, two sources",Customer referral,"Under 5k, consistent",No cash credits,Up to 10 percent,Employer and retail,Consistent,No,2025-08-03
NG-10203,Personal,Individual,Natural person,Regulated profession,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,Current account with credit,Under 2k a month,"Enabled, unused","Joint, related",Branch,"Electronic, two sources",Direct,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2025-11-30
NG-10171,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,"Enabled, unused",Sole party,"Digital, own app",Documents face to face,Comparison site,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2025-07-27
NG-10124,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Withdrawal only,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",No cash credits,None,Employer and retail,Consistent,No,2024-10-29
NG-10062,Personal,Individual,Natural person,General trade,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,Occasional payments,Unexplained signatories,"Digital, assisted","Electronic, two sources",Comparison site,"Over 25k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2025-08-24
NG-10104,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,"Further tax residence, monitored",UK only,"Current account, no overdraft",Withdrawal only,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Direct,"5k to 25k, consistent",No cash credits,None,Sector 4 counterparties,Consistent,No,2025-02-15
NG-10277,Personal,Sole trader or joint,Natural person,Regulated profession,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,Current account with credit,Withdrawal only,Occasional payments,Sole party,"Digital, own app","Electronic, two sources",Customer referral,"Under 5k, consistent",No cash credits,Up to 10 percent,Many individuals,Consistent,No,2024-04-13
NG-10052,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,"Weaker AML, unlisted",Current account with credit,Under 2k a month,"Enabled, unused",Sole party,"Digital, own app","Electronic, two sources",Direct,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2024-08-24
NG-10107,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Current account with credit,Under 2k a month,Not enabled,Sole party,"Digital, own app","Electronic, two sources",Customer referral,"Under 5k, consistent",No cash credits,None,Employer and retail,Consistent,No,2024-11-08
NG-10190,Personal,Individual,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,"Current account, no overdraft",Under 2k a month,Occasional payments,Sole party,"Digital, own app","Electronic, two sources",Comparison site,"Under 5k, consistent",Up to 10 percent,None,Employer and retail,Consistent,No,2025-03-18
NG-10205,Personal,Sole trader or joint,Natural person,Employed or pension,No match,No match,United Kingdom,UK tax residence only,UK only,Savings only,No cash facility,Occasional payments,Sole party,"Digital, own app",Documents face to face,Direct,"5k to 25k, consistent",No cash credits,None,Employer and retail,Consistent,No,2024-06-06
NG-10381,Limited company,"UK company, natural owners",Three to five UBOs,General trade,No match,No match,United Kingdom,UK tax residence only,Unlisted countries,"Business account, basic",Under 2k a month,Occasional payments,Sole party,"Digital, own app","Electronic, one source",Register checked,"5k to 25k, consistent",Up to 10 percent,None,Undescribed or sector 5,Consistent,No,2024-08-23
NG-10131,Personal,Individual,Natural person,Employed or pension,No match,"Adverse media, non-financial",United Kingdom,UK tax residence only,FATF increased monitoring,Current account with credit,Withdrawal only,"Enabled, unused",Sole party,"Digital, assisted",Certified copies,Customer referral,"5k to 25k, consistent",Up to 10 percent,None,Employer and retail,Resolved on follow-up,No,2024-12-31
NG-10395,Limited company,"UK company, natural owners",One or two UBOs,Regulated profession,No match,No match,United Kingdom,UK tax residence only,UK only,"Business account, cash and international",2k to 10k a month,"Enabled, unused","Mandate, evidenced",Branch,"Electronic, two sources",Direct,Above sector expectation,Up to 10 percent,10 to 40 percent,Many individuals,Consistent,No,2025-04-19
